name,ward,lat,lng,zone,restaurant_count,restaurant_rating,restaurant_viability,restaurant_viability_norm,cafe_count,cafe_rating,cafe_viability,cafe_viability_norm,gym_count,gym_rating,gym_viability,gym_viability_norm,pharmacy_count,pharmacy_rating,pharmacy_viability,pharmacy_viability_norm,beauty_salon_count,beauty_salon_rating,beauty_salon_viability,beauty_salon_viability_norm,store_count,store_rating,store_viability,store_viability_norm,school_count,school_rating,school_viability,school_viability_norm,lodging_count,lodging_rating,lodging_viability,lodging_viability_norm,bar_count,bar_rating,bar_viability,bar_viability_norm,night_club_count,night_club_rating,night_club_viability,night_club_viability_norm
Charni Road,C,18.9511,72.819,South Mumbai,58,4.7,1111.54,97.9,24,4.6,355.36,75.0,12,4.0,123.12,63.0,16,3.8,172.26,27.8,21,4.4,285.61,86.3,58,4.4,1040.59,59.9,3,4.5,18.71,12.7,15,4.3,178.83,91.5,9,3.5,72.53,50.1,1,4.3,2.98,9.6
Grant Road,C,18.964,72.8179,South Mumbai,58,4.8,1135.19,100.0,13,4.3,147.52,31.1,9,4.2,87.04,44.5,21,4.1,266.14,43.0,13,4.6,157.82,47.7,60,4.5,1109.94,63.9,4,3.5,22.53,15.2,4,4.5,28.97,14.8,6,4.5,52.54,36.3,0,0.0,0.0,0.0
Girgaon,C,18.9582,72.8178,South Mumbai,43,4.5,732.24,64.5,16,3.6,163.19,34.4,3,4.7,19.55,10.0,21,4.3,279.12,45.1,16,4.7,213.06,64.3,57,4.0,925.78,53.3,10,3.9,93.52,63.3,15,4.7,195.47,100.0,4,4.7,30.26,20.9,0,0.0,0.0,0.0
Malabar Hill,D,18.963,72.8026,South Mumbai,49,4.5,862.6,76.0,27,4.6,413.86,87.3,1,4.4,3.05,1.6,31,3.7,397.52,64.2,21,4.7,305.09,92.1,30,4.0,412.08,23.7,3,4.0,16.64,11.3,15,4.0,166.36,85.1,12,3.7,113.88,78.7,3,4.2,17.47,56.5
Pedder Road,D,18.9714,72.8089,South Mumbai,19,4.8,273.21,24.1,30,4.6,473.89,100.0,7,4.0,58.22,29.8,22,4.3,296.62,47.9,21,3.8,246.67,74.5,69,4.7,1377.79,79.3,3,4.7,19.55,13.2,15,4.0,166.36,85.1,7,4.7,68.41,47.3,4,4.2,27.04,87.5
Breach Candy,D,18.9697,72.8067,South Mumbai,18,3.9,206.7,18.2,9,3.7,76.68,16.2,13,3.9,133.8,68.5,37,4.2,565.28,91.3,6,3.7,43.2,13.0,28,3.9,367.71,21.2,7,4.0,58.22,39.4,10,4.3,103.11,52.7,9,4.0,82.89,57.3,4,4.4,28.33,91.7
Tardeo,D,18.9745,72.8136,South Mumbai,43,4.4,715.97,63.1,10,3.9,93.52,19.7,9,4.7,97.4,49.8,25,4.5,366.54,59.2,9,3.6,74.6,22.5,82,3.8,1376.91,79.2,12,3.6,110.81,75.0,3,3.7,15.39,7.9,1,4.7,3.26,2.3,1,3.8,2.63,8.5
Bhendi Bazaar,E,18.9527,72.8352,South Mumbai,42,3.8,600.29,52.9,10,3.9,93.52,19.7,6,3.8,44.37,22.7,16,4.2,190.39,30.8,13,4.1,140.66,42.5,63,4.4,1152.84,66.3,7,4.6,66.96,45.3,10,4.0,95.92,49.1,7,4.1,59.68,41.3,4,4.5,28.97,93.8
Nagpada,E,18.9578,72.8305,South Mumbai,31,4.0,429.75,37.9,27,4.6,413.86,87.3,12,4.4,135.43,69.3,12,4.4,135.43,21.9,15,4.0,166.36,50.2,76,4.0,1320.52,76.0,12,4.5,138.51,93.8,4,4.0,25.75,13.2,6,3.9,45.53,31.5,0,0.0,0.0,0.0
Dongri,E,18.9553,72.8399,South Mumbai,9,3.8,78.75,6.9,28,3.9,367.71,77.6,4,3.5,22.53,11.5,21,4.2,272.63,44.0,10,4.2,100.71,30.4,28,3.6,339.42,19.5,1,4.8,3.33,2.3,4,4.3,27.68,14.2,0,0.0,0.0,0.0,4,4.8,30.9,100.0
Mazgaon,F/N,18.9607,72.8474,South Mumbai,52,4.5,929.05,81.8,22,4.0,275.92,58.2,4,3.5,22.53,11.5,37,3.6,484.53,78.3,21,4.2,272.63,82.3,27,4.0,359.88,20.7,12,4.8,147.74,100.0,0,0.0,0.0,0.0,6,3.9,45.53,31.5,4,3.7,23.82,77.1
Reay Road,F/N,18.9683,72.8514,South Mumbai,30,3.5,360.57,31.8,24,4.4,339.91,71.7,7,3.9,56.77,29.0,37,4.2,565.28,91.3,15,4.4,182.99,55.3,69,4.4,1289.84,74.2,4,4.3,27.68,18.7,3,4.0,16.64,8.5,10,3.7,88.72,61.3,1,4.2,2.91,9.4
Byculla,F/S,18.9716,72.8374,South Mumbai,31,4.3,461.98,40.7,24,4.5,347.64,73.4,4,4.1,26.39,13.5,34,4.3,519.79,84.0,22,4.7,324.21,97.9,90,3.6,1461.52,84.1,1,4.0,2.77,1.9,10,4.0,95.92,49.1,1,4.7,3.26,2.3,3,4.8,19.96,64.6
Jacob Circle,F/S,18.9757,72.8399,South Mumbai,42,4.5,710.87,62.6,6,3.6,42.03,8.9,13,4.4,150.95,77.2,34,3.8,459.35,74.2,10,4.1,98.31,29.7,31,4.7,504.96,29.1,4,4.0,25.75,17.4,3,3.8,15.8,8.1,12,4.3,132.35,91.5,3,3.7,15.39,49.8
Worli,G/S,19.0074,72.8175,South Mumbai,13,4.2,144.09,12.7,13,4.7,161.25,34.0,9,4.5,93.25,47.7,33,3.7,430.57,69.5,19,3.8,216.29,65.3,88,4.4,1738.0,100.0,4,4.8,30.9,20.9,13,4.2,144.09,73.7,9,4.3,89.11,61.6,3,4.2,17.47,56.5
Dadar (East),G/N,19.0176,72.8472,Central Mumbai,12,4.3,132.35,11.7,14,4.7,178.19,37.6,6,3.6,42.03,21.5,6,3.7,43.2,7.0,12,4.4,135.43,40.9,54,4.0,865.58,49.8,6,3.9,45.53,30.8,5,3.9,34.94,17.9,2,3.5,7.69,5.3,0,0.0,0.0,0.0
Dadar (West),G/N,19.019,72.8421,Central Mumbai,35,4.3,539.32,47.5,20,4.0,243.56,51.4,7,3.5,50.95,26.1,23,4.4,321.62,51.9,5,4.3,38.52,11.6,57,3.8,879.49,50.6,7,4.1,59.68,40.4,9,4.8,99.47,50.9,5,3.8,34.04,23.5,2,4.5,9.89,32.0
Mahim,G/N,19.0365,72.8395,Central Mumbai,15,4.3,178.83,15.8,5,3.5,31.36,6.6,6,4.5,52.54,26.9,12,3.6,110.81,17.9,10,4.7,112.7,34.0,13,4.3,147.52,8.5,7,4.6,66.96,45.3,8,4.2,73.83,37.8,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Matunga,G/S,19.0234,72.8596,Central Mumbai,15,3.8,158.04,13.9,5,4.3,38.52,8.1,3,4.1,17.05,8.7,7,3.7,53.86,8.7,7,3.7,53.86,16.3,58,4.1,969.64,55.8,4,3.9,25.11,17.0,8,4.6,80.86,41.4,2,3.5,7.69,5.3,1,4.5,3.12,10.1
Parel,G/S,18.9944,72.8416,Central Mumbai,31,4.4,472.73,41.6,10,4.2,100.71,21.3,4,3.6,23.18,11.9,9,4.1,84.97,13.7,7,3.9,56.77,17.1,52,4.2,867.11,49.9,6,4.5,52.54,35.6,0,0.0,0.0,0.0,5,4.1,36.73,25.4,1,3.9,2.7,8.7
Lower Parel,G/S,18.9934,72.8285,Central Mumbai,8,4.3,75.58,6.7,9,4.6,95.33,20.1,1,4.5,3.12,1.6,7,4.2,61.14,9.9,15,3.7,153.88,46.5,31,4.0,429.75,24.7,7,4.5,65.5,44.3,1,4.1,2.84,1.5,2,3.7,8.13,5.6,1,4.1,2.84,9.2
Lalbaug,G/S,19.0017,72.8391,Central Mumbai,23,3.5,255.83,22.5,6,3.6,42.03,8.9,1,4.0,2.77,1.4,21,4.0,259.65,41.9,12,4.4,135.43,40.9,33,3.5,407.29,23.4,1,4.5,3.12,2.1,2,4.3,9.45,4.8,8,4.4,77.34,53.5,0,0.0,0.0,0.0
Sewri,F/N,19.0001,72.8593,Central Mumbai,13,3.7,126.94,11.2,16,4.5,203.99,43.0,8,4.4,77.34,39.6,17,4.5,221.11,35.7,5,4.4,39.42,11.9,28,4.7,443.14,25.5,8,3.7,65.04,44.0,9,3.9,80.82,41.3,6,4.2,49.04,33.9,2,3.8,8.35,27.0
Cotton Green,F/N,18.9845,72.8562,Central Mumbai,20,4.1,249.65,22.0,6,4.2,49.04,10.3,10,3.5,83.93,42.9,25,4.0,325.81,52.6,14,4.1,155.44,46.9,47,3.5,636.81,36.6,3,4.6,19.13,12.9,10,3.9,93.52,47.8,1,4.4,3.05,2.1,3,3.8,15.8,51.1
Wadala,F/S,19.0178,72.8608,Central Mumbai,23,3.5,255.83,22.5,17,4.1,201.46,42.5,6,4.5,52.54,26.9,16,3.8,172.26,27.8,3,4.7,19.55,5.9,19,4.6,261.83,15.1,2,4.2,9.23,6.2,6,4.3,50.2,25.7,5,4.2,37.63,26.0,2,3.5,7.69,24.9
Sion,H,19.0404,72.8619,Central Mumbai,22,3.7,255.23,22.5,16,4.6,208.52,44.0,3,3.8,15.8,8.1,7,4.6,66.96,10.8,5,3.5,31.36,9.5,19,3.9,221.98,12.8,3,4.7,19.55,13.2,4,3.7,23.82,12.2,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Dharavi,H,19.037,72.853,Central Mumbai,23,3.9,285.07,25.1,17,4.6,226.03,47.7,9,3.5,72.53,37.1,21,3.9,253.16,40.9,8,4.4,77.34,23.4,24,3.6,278.11,16.0,7,3.8,55.31,37.4,3,4.3,17.88,9.1,2,3.9,8.57,5.9,3,4.1,17.05,55.2
Chunabhatti,H,19.0448,72.871,Central Mumbai,35,4.6,576.95,50.8,7,3.7,53.86,11.4,10,4.8,115.1,58.9,22,4.7,324.21,52.4,9,3.8,78.75,23.8,53,3.5,739.96,42.6,7,4.8,69.87,47.3,3,4.0,16.64,8.5,6,4.4,51.37,35.5,1,4.0,2.77,9.0
Antop Hill,H,19.027,72.8663,Central Mumbai,31,4.1,440.5,38.8,7,4.1,59.68,12.6,2,4.8,10.55,5.4,5,3.9,34.94,5.6,13,4.0,137.23,41.4,43,4.4,715.97,41.2,1,3.5,2.43,1.6,0,0.0,0.0,0.0,7,4.2,61.14,42.3,3,4.0,16.64,53.9
Chembur,M/E,19.0623,72.9004,Central Mumbai,5,4.4,39.42,3.5,9,3.6,74.6,15.7,7,4.4,64.05,32.8,21,3.7,240.17,38.8,9,3.6,74.6,22.5,21,3.6,233.68,13.4,1,3.8,2.63,1.8,4,4.4,28.33,14.5,2,3.5,7.69,5.3,2,4.1,9.01,29.2
Govandi,M/E,19.0602,72.9157,Central Mumbai,38,4.8,668.23,58.9,10,3.8,91.12,19.2,7,3.9,56.77,29.0,5,4.6,41.21,6.7,13,3.7,126.94,38.3,49,4.6,881.77,50.7,7,3.8,55.31,37.4,4,4.6,29.61,15.1,8,3.8,66.8,46.2,2,4.3,9.45,30.6
Mankhurd,M/E,19.0518,72.9277,Central Mumbai,14,4.4,166.82,14.7,8,3.7,65.04,13.7,4,4.5,28.97,14.8,21,4.7,305.09,49.3,14,4.2,159.23,48.1,45,4.0,689.16,39.7,8,4.1,72.07,48.8,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,3.6,2.5,8.1
Trombay,M/E,19.0416,72.9346,Central Mumbai,33,3.5,407.29,35.9,9,4.0,82.89,17.5,6,4.6,53.71,27.5,17,4.6,226.03,36.5,14,4.1,155.44,46.9,11,4.0,109.34,6.3,6,3.5,40.86,27.7,6,3.6,42.03,21.5,0,0.0,0.0,0.0,1,4.0,2.77,9.0
Kurla (West),L,19.0698,72.8798,Central Mumbai,6,4.4,51.37,4.5,2,4.1,9.01,1.9,6,4.7,54.87,28.1,22,3.7,255.23,41.2,8,3.8,66.8,20.2,46,3.5,619.87,35.7,7,3.5,50.95,34.5,1,4.0,2.77,1.4,4,4.6,29.61,20.5,3,4.0,16.64,53.9
Kurla (East),L,19.0716,72.8884,Central Mumbai,5,4.0,35.84,3.2,20,4.7,286.19,60.4,5,4.4,39.42,20.2,10,3.9,93.52,15.1,14,4.1,155.44,46.9,26,4.5,385.61,22.2,7,4.2,61.14,41.4,7,4.3,62.59,32.0,8,3.7,65.04,45.0,0,0.0,0.0,0.0
Ghatkopar (West),N,19.0858,72.9063,Central Mumbai,23,4.0,292.38,25.8,9,4.0,82.89,17.5,8,3.9,68.55,35.1,5,4.1,36.73,5.9,12,4.3,132.35,40.0,36,3.5,454.98,26.2,6,3.7,43.2,29.2,7,4.3,62.59,32.0,0,0.0,0.0,0.0,1,4.1,2.84,9.2
Ghatkopar (East),N,19.0862,72.9128,Central Mumbai,7,3.7,53.86,4.7,2,4.2,9.23,1.9,1,3.9,2.7,1.4,18,4.2,222.6,36.0,3,3.9,16.22,4.9,39,3.9,561.08,32.3,4,4.2,27.04,18.3,8,4.6,80.86,41.4,7,3.7,53.86,37.2,2,3.6,7.91,25.6
Bandra (West),H,19.0596,72.8295,Western Suburbs,16,3.9,176.79,15.6,10,4.6,110.3,23.3,15,3.9,162.2,83.0,34,4.7,568.14,91.8,13,3.8,130.37,39.4,75,4.3,1396.66,80.4,7,3.6,52.4,35.5,0,0.0,0.0,0.0,3,3.7,15.39,10.6,3,3.6,14.97,48.4
Bandra (East),H,19.0607,72.8386,Western Suburbs,52,4.5,929.05,81.8,19,4.7,267.52,56.5,15,4.1,170.51,87.2,27,4.5,404.86,65.4,21,3.9,253.16,76.5,57,4.7,1087.79,62.6,6,4.5,52.54,35.6,12,4.7,144.66,74.0,12,4.7,144.66,100.0,1,4.4,3.05,9.9
Santacruz (West),K/W,19.0826,72.8351,Western Suburbs,42,4.1,647.68,57.1,13,3.6,123.51,26.1,12,4.4,135.43,69.3,33,4.3,500.39,80.8,6,4.7,54.87,16.6,88,3.7,1461.5,84.1,10,4.1,98.31,66.5,10,4.0,95.92,49.1,6,4.8,56.04,38.7,0,0.0,0.0,0.0
Santacruz (East),K/W,19.082,72.8448,Western Suburbs,30,4.0,412.08,36.3,9,4.3,89.11,18.8,15,4.6,191.31,97.9,15,4.1,170.51,27.5,4,3.6,23.18,7.0,72,4.3,1328.33,76.4,12,4.4,135.43,91.7,4,4.4,28.33,14.5,12,4.6,141.59,97.9,4,4.8,30.9,100.0
Vile Parle (West),K/W,19.099,72.8363,Western Suburbs,39,4.0,575.47,50.7,28,3.6,339.42,71.6,1,3.5,2.43,1.2,13,4.4,150.95,24.4,12,4.2,129.27,39.0,72,4.8,1482.78,85.3,3,4.2,17.47,11.8,12,4.4,135.43,69.3,0,0.0,0.0,0.0,3,4.2,17.47,56.5
Vile Parle (East),K/W,19.1004,72.8481,Western Suburbs,7,4.3,62.59,5.5,6,3.6,42.03,8.9,9,3.8,78.75,40.3,15,3.8,158.04,25.5,21,4.1,266.14,80.4,27,4.8,431.85,24.8,6,4.7,54.87,37.1,12,4.0,123.12,63.0,3,3.7,15.39,10.6,1,3.8,2.63,8.5
Khar (West),H,19.0721,72.8329,Western Suburbs,54,4.3,930.5,82.0,22,3.9,269.03,56.8,6,3.7,43.2,22.1,12,3.8,116.96,18.9,18,4.1,217.3,65.6,43,4.6,748.51,43.1,7,3.9,56.77,38.4,1,3.8,2.63,1.3,9,4.1,84.97,58.7,1,3.7,2.56,8.3
Juhu,K/W,19.1075,72.8263,Western Suburbs,42,4.0,631.88,55.7,9,4.0,82.89,17.5,10,4.1,98.31,50.3,28,4.8,452.56,73.1,10,4.7,112.7,34.0,22,4.0,275.92,15.9,3,4.3,17.88,12.1,6,4.4,51.37,26.3,12,4.3,132.35,91.5,1,4.5,3.12,10.1
Andheri (West),K/W,19.1197,72.8465,Western Suburbs,60,3.8,937.28,82.6,18,4.8,254.4,53.7,3,4.1,17.05,8.7,12,3.7,113.88,18.4,10,4.6,110.3,33.3,43,4.2,683.42,39.3,12,4.4,135.43,91.7,7,4.7,68.41,35.0,4,4.2,27.04,18.7,0,0.0,0.0,0.0
Andheri (East),K/E,19.1136,72.8697,Western Suburbs,22,4.7,324.21,28.6,12,4.2,129.27,27.3,1,4.0,2.77,1.4,16,4.1,185.86,30.0,21,3.7,240.17,72.5,66,4.1,1137.79,65.5,10,3.6,86.32,58.4,10,4.2,100.71,51.5,3,4.5,18.71,12.9,3,3.6,14.97,48.4
Jogeshwari (West),K/W,19.1374,72.8468,Western Suburbs,58,4.7,1111.54,97.9,16,3.6,163.19,34.4,13,4.7,161.25,82.5,7,3.6,52.4,8.5,19,3.8,216.29,65.3,42,3.8,600.29,34.5,12,4.3,132.35,89.6,1,3.9,2.7,1.4,4,4.2,27.04,18.7,3,4.4,18.3,59.2
Jogeshwari (East),K/E,19.137,72.8596,Western Suburbs,28,4.4,414.85,36.5,6,4.0,46.7,9.9,4,4.1,26.39,13.5,19,3.8,216.29,34.9,10,3.8,91.12,27.5,55,3.8,841.3,48.4,3,4.6,19.13,12.9,3,4.6,19.13,9.8,9,4.2,87.04,60.2,4,4.6,29.61,95.8
Goregaon (West),P/N,19.1538,72.8491,Western Suburbs,21,3.9,253.16,22.3,6,3.9,45.53,9.6,13,4.7,161.25,82.5,28,4.7,443.14,71.6,19,4.3,244.75,73.9,85,3.8,1438.75,82.8,7,4.7,68.41,46.3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,4.1,26.39,85.4
Goregaon (East),P/S,19.1597,72.8706,Western Suburbs,48,4.6,859.31,75.7,4,3.7,23.82,5.0,3,4.8,19.96,10.2,33,3.9,453.84,73.3,4,4.7,30.26,9.1,24,4.7,363.09,20.9,10,4.0,95.92,64.9,12,4.4,135.43,69.3,0,0.0,0.0,0.0,1,4.1,2.84,9.2
Malad (West),P/N,19.1876,72.8489,Western Suburbs,39,4.6,661.78,58.3,13,3.5,120.08,25.3,1,3.7,2.56,1.3,18,3.9,206.7,33.4,16,4.0,181.33,54.8,24,4.1,316.74,18.2,3,4.5,18.71,12.7,4,3.6,23.18,11.9,3,4.0,16.64,11.5,4,3.6,23.18,75.0
Malad (East),P/S,19.1949,72.8689,Western Suburbs,24,4.3,332.19,29.3,28,4.5,424.28,89.5,10,4.5,107.91,55.2,37,4.6,619.12,100.0,15,4.3,178.83,54.0,45,3.8,654.7,37.7,7,4.5,65.5,44.3,10,4.5,107.91,55.2,1,3.7,2.56,1.8,1,4.1,2.84,9.2
Kandivali (West),R/N,19.2073,72.8393,Western Suburbs,13,4.8,164.68,14.5,18,4.3,227.9,48.1,15,4.7,195.47,100.0,16,3.9,176.79,28.6,18,4.6,243.8,73.6,60,4.8,1183.93,68.1,10,3.9,93.52,63.3,12,3.9,120.04,61.4,9,3.7,76.68,53.0,0,0.0,0.0,0.0
Kandivali (East),R/S,19.2047,72.8649,Western Suburbs,43,4.1,667.15,58.8,18,4.7,249.1,52.6,6,3.9,45.53,23.3,28,4.0,377.14,60.9,13,4.2,144.09,43.5,18,3.5,185.5,10.7,1,3.5,2.43,1.6,4,4.8,30.9,15.8,0,0.0,0.0,0.0,3,4.0,16.64,53.9
Borivali (West),R/N,19.2307,72.8567,Western Suburbs,57,4.3,995.21,87.7,28,4.1,386.57,81.6,9,4.2,87.04,44.5,16,4.5,203.99,32.9,15,4.0,166.36,50.2,69,3.7,1084.64,62.4,1,4.0,2.77,1.9,6,3.8,44.37,22.7,6,4.3,50.2,34.7,4,4.8,30.9,100.0
Borivali (East),R/S,19.2281,72.8687,Western Suburbs,49,4.4,843.43,74.3,3,3.7,15.39,3.2,4,4.7,30.26,15.5,9,3.9,80.82,13.1,22,4.8,331.11,100.0,85,4.0,1514.48,87.1,1,3.6,2.5,1.7,7,4.7,68.41,35.0,6,3.6,42.03,29.1,3,4.6,19.13,61.9
Dahisar (West),R/N,19.2523,72.8438,Western Suburbs,55,4.7,1040.55,91.7,4,3.9,25.11,5.3,6,4.8,56.04,28.7,25,3.6,293.23,47.4,19,3.6,204.91,61.9,69,3.6,1055.33,60.7,7,4.7,68.41,46.3,9,3.6,74.6,38.2,1,3.9,2.7,1.9,3,4.6,19.13,61.9
Dahisar (East),R/S,19.253,72.8683,Western Suburbs,28,4.2,395.99,34.9,15,4.2,174.67,36.9,10,3.9,93.52,47.8,28,4.0,377.14,60.9,15,4.7,195.47,59.0,88,3.8,1501.0,86.4,7,4.4,64.05,43.4,15,4.6,191.31,97.9,7,3.8,55.31,38.2,0,0.0,0.0,0.0
Mira Road,R/C,19.2812,72.8682,Western Suburbs,48,4.4,821.95,72.4,24,3.9,301.29,63.6,4,3.6,23.18,11.9,12,4.4,135.43,21.9,9,4.6,95.33,28.8,24,3.6,278.11,16.0,3,4.6,19.13,12.9,6,3.9,45.53,23.3,9,4.2,87.04,60.2,0,0.0,0.0,0.0
Bhayander,R/C,19.3003,72.851,Western Suburbs,54,4.5,973.78,85.8,15,3.9,162.2,34.2,4,3.6,23.18,11.9,33,4.6,535.3,86.5,16,4.4,199.46,60.2,19,3.9,221.98,12.8,9,3.9,80.82,54.7,10,3.8,91.12,46.6,3,4.6,19.13,13.2,1,3.6,2.5,8.1
Versova,K/W,19.1315,72.8193,Western Suburbs,45,3.5,603.01,53.1,28,4.0,377.14,79.6,1,4.5,3.12,1.6,34,4.6,556.06,89.8,12,3.8,116.96,35.3,15,4.5,187.15,10.8,10,4.0,95.92,64.9,9,3.9,80.82,41.3,7,3.9,56.77,39.2,3,4.0,16.64,53.9
Lokhandwala,K/W,19.139,72.8286,Western Suburbs,39,4.7,676.17,59.6,22,4.6,317.31,67.0,1,4.6,3.19,1.6,7,3.7,53.86,8.7,22,4.2,289.72,87.5,46,4.2,743.85,42.8,4,4.2,27.04,18.3,9,3.8,78.75,40.3,10,3.7,88.72,61.3,1,3.6,2.5,8.1
Oshiwara,K/W,19.1464,72.829,Western Suburbs,33,3.9,453.84,40.0,13,4.4,150.95,31.9,9,4.3,89.11,45.6,34,4.5,543.97,87.9,13,4.5,154.38,46.6,76,4.7,1551.61,89.3,9,3.6,74.6,50.5,10,4.5,107.91,55.2,3,4.4,18.3,12.7,0,0.0,0.0,0.0
Powai,L,19.1176,72.906,Western Suburbs,55,3.5,774.88,68.3,3,4.4,18.3,3.9,1,4.2,2.91,1.5,31,4.5,483.47,78.1,22,3.9,269.03,81.3,34,3.7,447.26,25.7,1,3.8,2.63,1.8,15,3.8,158.04,80.9,4,4.4,28.33,19.6,4,4.5,28.97,93.8
Chandivali,L,19.1062,72.9073,Western Suburbs,34,4.2,507.7,44.7,3,4.7,19.55,4.1,12,3.9,120.04,61.4,33,4.2,488.75,78.9,10,4.1,98.31,29.7,27,4.3,386.87,22.3,12,4.3,132.35,89.6,3,4.3,17.88,9.1,1,3.6,2.5,1.7,3,4.7,19.55,63.3
Sakinaka,L,19.0967,72.8905,Western Suburbs,12,4.1,126.2,11.1,3,3.6,14.97,3.2,13,4.6,157.82,80.7,24,4.8,370.81,59.9,22,4.7,324.21,97.9,63,4.0,1048.04,60.3,1,4.8,3.33,2.3,13,3.9,133.8,68.5,4,4.6,29.61,20.5,1,3.9,2.7,8.7
Vikhroli (West),L,19.1063,72.9245,Eastern Suburbs,10,4.1,98.31,8.7,12,3.6,110.81,23.4,2,4.7,10.33,5.3,17,4.6,226.03,36.5,14,3.6,136.49,41.2,58,3.8,898.69,51.7,7,3.8,55.31,37.4,8,4.0,70.31,36.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Vikhroli (East),L,19.1091,72.9352,Eastern Suburbs,36,4.8,623.97,55.0,20,4.1,249.65,52.7,8,3.8,66.8,34.2,18,3.7,196.1,31.7,7,4.0,58.22,17.6,58,3.8,898.69,51.7,6,4.6,53.71,36.4,4,4.8,30.9,15.8,7,4.7,68.41,47.3,2,3.8,8.35,27.0
